date,flow_id,case_label,channel,source_name,search_term,url_or_contact,action_type,result,lead_score,response_status,next_action,time_spent_minutes,notes
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Google refined lighting,Porsche 911 modelcontext,"Porsche 911 F model Bosch headlight lens left 1968 1973",https://en.wikipedia.org/wiki/Porsche_911_(classic),search,reference_found,2,not_contacted,continue,3,"1968-1973 fits early/original Porsche 911 context; keep F-model and 911 T/E/S terms"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Google refined lighting,Headlamp reference,"Porsche 911 1968 1973 Bosch headlight glass left NOS used",https://en.wikipedia.org/wiki/Headlamp,search,compatibility_context_found,2,not_contacted,continue,3,"Headlamp side/traffic/market context may matter; ask LHD/RHD or EU/US if needed"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Google refined lighting,English indexed search,"Porsche 911 F-model Bosch H4 headlight lens glass part number",,search,no_verified_product_lead,1,not_contacted,channel_2_marketplace_refined_lighting,5,"No hard verifiable product lead via indexed Google search"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Google refined lighting,Multilingual indexed search,"Porsche 911 F Modell Bosch Scheinwerferglas links",,search,terminology_found_no_product_lead,1,not_contacted,channel_2_marketplace_refined_lighting,4,"Useful terms: Scheinwerferglas, verre phare, koplampglas; no hard product lead"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Marketplace refined lighting,eBay indexed search,"eBay Porsche 911 F model Bosch headlight lens left 1968 1973",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,4,"No verified exact listing for Porsche 911 F-model + Bosch + left/headlight lens/glass + 1968-1973"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Marketplace refined lighting,eBay H1 H4 search,"eBay Porsche 911 F Bosch H4 headlight lens",,search,no_verified_lens_only_listing,1,not_contacted,channel_3_specialist_reference_if_needed,4,"Search creates H1/H4 or complete-unit ambiguity; lens-only not confirmed"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Marketplace refined lighting,Marktplaats indexed search,"Porsche 911 F model Bosch koplampglas links Marktplaats",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,3,"No verified Dutch marketplace listing via indexed search"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Marketplace refined lighting,2dehands indexed search,"Porsche 911 koplampglas Bosch 2dehands",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,2,"No verified Belgian marketplace listing via indexed search"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Marketplace refined lighting,Multilingual marketplace search,"Porsche 911 F Modell Bosch Scheinwerferglas links kaufen",,search,terminology_found_no_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,3,"Useful terminology found; no hard product lead"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Specialist reference,Porsche 911 classic reference,"Porsche 911 F-series 1968 1973 911 T E S reference",https://en.wikipedia.org/wiki/Porsche_911_(classic),reference,model_context_confirmed,2,not_contacted,pause_run_002,4,"F-model / 911 T/E/S / 1968-1973 remain useful search terms"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Specialist reference,Headlamp compatibility reference,"headlamp side market region lens complete unit compatibility",https://en.wikipedia.org/wiki/Headlamp,reference,compatibility_context_confirmed,3,not_contacted,pause_run_002,4,"Lens-only vs complete unit, market region, LHD/RHD and H1/H4 context should be clarified"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Specialist reference,Porsche PET catalogue route,"Porsche PET 911 1968 1973 headlight lens part number",,reference,no_verified_partnumber_found,2,not_contacted,pause_run_002,5,"Do not guess part number; need photo/part number or specialist catalogue"
2026-06-26,R002_LIGHT_911_BOSCH,Porsche 911 F-model Bosch left headlight lens,Specialist reference,Specialist catalogue route,"Porsche 911 F model headlight lens specialist catalogue",,reference,reference_route_needed,3,not_contacted,pause_run_002,5,"Next useful step is intake update or specialist/reference catalog with confirmed details; no extra email in this run"
